Mon Jan 11 2010	102.36	98.64	96.48	103.32	95.64	94.92	92.88	93.96	87.36	85.92	93.72	87.12	83.88	84.96	89.76	89.40	88.20	92.52	90.84	96.60	103.92	108.96	118.32	110.04	129.24	128.28	130.32	137.40	138.24	151.32	172.68	172.80	149.04	139.92	134.28	131.04	149.76	184.68	180.12	184.44	157.80	150.12	144.60	144.60	148.20	146.04	157.56	159.00	152.88	157.80	153.72	164.04	153.84	164.88	149.16	142.44	143.76	144.48	152.88	152.04	160.20	157.80	144.48	148.80	149.40	149.40	146.88	159.48	165.24	171.36	157.68	156.00	156.00	151.32	179.16	180.12	174.24	182.40	163.80	180.12	184.92	187.56	194.28	189.84	145.32	154.68	152.64	132.00	127.32	135.00	146.16	126.60	123.60	133.56	114.60	106.20
Tue Jan 12 2010	99.96	99.60	99.12	97.68	96.24	94.44	94.20	96.12	93.24	97.68	95.04	92.28	93.72	92.40	94.20	95.28	97.44	99.60	99.96	96.00	101.40	105.12	122.76	123.00	141.00	131.52	122.40	134.88	134.76	154.32	145.56	155.88	171.96	175.68	195.24	192.36	199.56	192.48	184.20	171.36	153.12	153.00	159.60	159.60	154.80	148.56	157.20	151.80	149.28	162.36	145.68	143.40	150.60	151.20	149.16	150.36	158.04	151.20	154.44	153.72	152.52	140.64	130.32	141.24	131.52	140.76	147.48	142.08	136.32	123.72	118.08	129.12	142.20	156.36	188.04	179.16	186.00	189.72	194.88	192.24	180.84	183.24	170.40	163.08	154.56	163.08	141.84	131.28	127.80	112.08	126.36	128.28	108.36	108.00	105.24	108.00
Wed Jan 13 2010	104.40	104.88	100.08	92.88	90.00	90.60	91.20	90.84	97.92	93.12	90.12	92.16	86.64	88.68	91.68	92.28	95.64	92.28	92.04	90.96	106.08	95.04	103.92	122.28	129.00	123.96	139.68	136.08	151.92	151.68	174.96	166.08	165.24	173.64	157.92	157.56	168.72	171.84	162.60	169.32	141.48	141.84	135.00	136.68	138.00	145.20	143.64	145.08	143.64	142.20	146.40	146.28	159.60	155.76	148.20	152.64	152.88	146.52	151.32	148.56	147.72	150.24	149.16	152.52	163.32	161.28	157.32	167.04	161.28	152.88	144.36	148.68	154.20	169.56	179.04	200.64	198.36	207.72	189.24	190.32	183.36	174.72	179.16	183.72	157.08	129.24	128.04	147.72	125.64	118.92	123.96	127.92	136.20	115.32	109.32	99.72
Thu Jan 14 2010	104.40	102.24	93.72	96.12	100.68	94.56	95.28	93.12	97.32	91.08	88.92	94.44	88.80	86.04	93.84	87.36	93.12	94.56	92.28	102.96	97.92	100.80	125.52	118.68	127.20	116.28	155.40	145.80	146.16	159.60	148.44	149.16	162.36	159.60	168.72	194.04	200.16	169.92	173.52	176.16	170.52	176.04	172.68	156.36	140.04	145.56	144.60	140.16	137.16	143.04	141.00	153.36	168.60	157.80	149.28	155.04	157.32	157.80	149.76	152.64	148.92	157.56	161.64	151.80	158.40	151.56	153.48	153.60	137.40	143.40	170.40	162.84	161.76	158.16	144.12	136.80	136.68	137.40	148.32	154.44	161.52	185.16	189.00	187.92	172.20	179.76	154.56	136.44	130.80	134.88	134.64	120.24	120.24	108.24	107.04	97.44
Fri Jan 15 2010	93.60	88.68	89.40	92.88	97.32	84.84	90.24	95.04	89.40	88.44	93.36	90.60	86.28	83.76	87.48	87.96	86.64	106.08	91.56	96.96	90.96	107.52	135.12	107.28	122.40	137.76	151.80	141.48	150.00	160.44	150.72	155.16	167.04	165.36	174.24	180.84	166.92	172.20	170.88	164.16	152.64	146.88	147.48	156.96	150.60	160.20	148.08	142.80	146.16	147.48	154.80	151.08	145.68	142.92	146.88	154.20	145.92	148.20	147.00	149.16	153.36	153.36	147.72	152.28	138.12	154.32	162.36	150.60	141.96	148.32	143.04	131.76	135.84	153.00	182.04	174.24	179.40	172.92	181.68	188.16	201.00	189.84	182.16	168.24	140.40	139.32	130.80	135.84	146.04	143.76	142.32	126.12	128.64	123.72	123.96	122.40
Sat Jan 16 2010	126.48	115.56	103.44	100.56	102.72	98.88	93.12	92.52	94.92	95.64	92.04	96.96	94.56	92.88	89.88	92.76	93.84	91.80	88.80	94.44	88.44	91.68	90.12	86.40	102.24	123.48	132.60	127.32	104.88	110.52	119.88	132.72	115.32	120.84	115.32	119.28	130.08	132.24	126.48	127.56	136.32	129.48	122.76	117.48	109.32	106.80	115.80	122.16	115.44	117.24	114.84	108.00	112.08	129.84	128.64	112.56	114.48	120.12	122.64	112.92	119.04	116.88	115.32	121.56	123.48	134.76	118.80	132.72	129.72	134.64	128.16	134.76	142.08	145.56	162.36	152.76	147.00	146.28	145.68	150.72	145.92	140.16	137.64	125.64	134.16	128.64	114.12	121.44	137.52	109.56	112.68	114.60	106.80	102.36	102.48	97.44
Sun Jan 17 2010	101.40	100.20	91.44	96.12	97.68	87.96	85.20	88.32	89.52	86.04	84.36	90.12	85.92	83.88	88.32	84.12	84.48	84.96	85.08	79.56	80.04	85.08	81.84	99.24	100.20	89.64	101.16	123.60	118.56	123.12	125.04	119.16	100.44	107.40	107.76	114.12	104.52	95.04	94.68	91.20	113.16	104.28	109.08	112.80	97.08	110.88	108.72	109.44	108.60	111.96	108.00	116.04	114.84	101.04	106.56	113.64	110.16	116.76	136.80	136.92	154.68	133.32	136.80	142.20	133.68	138.24	150.24	156.84	142.44	128.64	123.24	117.48	123.36	130.20	143.64	146.52	148.56	152.52	136.44	135.84	164.76	150.48	156.36	148.20	149.64	151.68	136.08	122.28	127.44	130.08	124.56	122.40	126.96	120.12	107.40	101.64
Mon Jan 18 2010	96.00	92.88	94.20	99.84	93.60	98.76	91.92	88.56	89.40	93.48	90.24	87.12	91.80	87.00	88.20	96.24	89.88	86.40	88.68	100.32	97.68	107.52	114.60	112.44	124.32	129.84	136.80	143.76	142.08	139.80	172.56	166.68	157.08	150.24	139.80	138.36	151.20	180.72	181.56	177.60	152.64	151.92	158.04	159.96	161.64	154.68	150.96	149.52	143.28	156.48	151.32	154.56	150.72	161.28	153.60	156.00	153.12	157.08	158.76	173.88	171.72	173.16	177.72	169.32	177.24	170.52	166.56	171.72	158.64	151.44	145.80	146.64	150.36	164.16	182.40	183.72	184.92	183.72	183.72	197.04	194.64	180.84	190.44	182.76	162.36	163.44	167.16	155.76	133.68	150.96	150.24	130.80	132.96	122.16	119.16	114.24
Tue Jan 19 2010	111.00	97.56	99.12	96.00	96.12	95.52	93.24	91.44	94.20	96.72	90.96	96.48	97.68	97.80	92.52	90.72	99.48	93.00	93.96	105.84	100.68	112.44	126.36	122.52	115.08	126.84	139.44	141.48	156.36	170.88	172.92	162.72	169.20	172.44	168.84	184.32	206.52	201.12	186.72	166.80	150.12	155.16	166.80	158.28	153.24	171.12	175.80	166.56	155.76	162.48	161.88	167.64	166.32	170.28	161.28	162.96	175.20	166.08	168.00	166.80	159.36	156.84	149.64	147.84	145.92	139.44	137.28	144.24	132.36	133.68	127.68	131.52	169.08	169.20	192.72	189.12	190.20	200.40	190.44	186.84	177.60	174.60	184.80	185.88	166.92	173.64	165.60	158.40	152.40	153.00	128.40	135.60	127.44	118.44	126.00	116.40
Wed Jan 20 2010	107.88	110.52	97.80	95.64	94.80	96.96	91.92	93.72	96.24	90.72	93.96	93.36	91.08	90.72	96.60	90.72	91.80	90.96	98.52	98.88	103.68	118.56	113.40	127.92	149.76	131.88	129.72	149.04	143.64	159.72	175.56	164.52	164.52	175.08	171.60	170.76	174.96	176.04	191.04	191.52	167.88	162.36	154.08	159.84	152.04	165.48	167.16	177.72	169.68	165.60	158.28	154.68	156.48	168.36	176.88	158.04	150.84	173.16	164.16	157.20	156.24	154.68	162.24	167.40	166.56	171.60	166.44	155.16	144.12	153.72	158.52	155.88	147.60	154.32	204.24	204.72	187.80	188.28	181.44	179.40	184.08	179.40	185.52	191.40	163.80	173.28	174.84	153.72	143.16	151.56	146.52	132.48	125.76	118.32	107.64	98.88
